tweet_id,retweet_count,favorite_count,jpg_url,img_num,prediction_level,prediction,confidence,breed
892177421306343426,6514,33819,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,1,1,True,0.323581,Chihuahua
891815181378084864,4328,25461,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1,1,True,0.716012,Chihuahua
891327558926688256,9774,41048,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2,1,True,0.555712,basset
891087950875897856,3261,20562,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,1,1,True,0.425595,Chesapeake_Bay_retriever
890971913173991426,2158,12041,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,1,1,True,0.34170300000000003,Appenzeller
890729181411237888,16716,56848,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,2,1,True,0.566142,Pomeranian
890609185150312448,4429,28226,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1,1,True,0.487574,Irish_terrier
890240255349198849,7711,32467,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1,1,True,0.511319,Pembroke
890006608113172480,7624,31166,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,1,1,True,0.957979,Samoyed
889880896479866881,5156,28268,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,1,1,True,0.377417,French_bulldog
889665388333682689,8538,38818,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,1,1,True,0.966327,Pembroke
889638837579907072,4735,27672,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,1,1,True,0.99165,French_bulldog
889531135344209921,2321,15359,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,1,1,True,0.953442,golden_retriever
889278841981685760,5637,25652,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,1,1,True,0.626152,whippet
888917238123831296,4709,29611,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,1,1,True,0.714719,golden_retriever
888804989199671297,4559,26080,https://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg,1,1,True,0.46976,golden_retriever
